openalex_id,pmid,doi,title,abstract,year,journal,authors,type,cited_by_count,domain_query
W2148295952,17309970,10.1001/archsurg.142.2.181,The Impact of Video Games on Training Surgeons in the 21st Century,"BACKGROUND: Video games have become extensively integrated into popular culture. Anecdotal observations of young surgeons suggest that video game play contributes to performance excellence in laparoscopic surgery. Training benefits for surgeons who play video games should be quantifiable. HYPOTHESIS: There is a potential link between video game play and laparoscopic surgical skill and suturing. DESIGN: Cross-sectional analysis of the performance of surgical residents and attending physicians participating in the Rosser Top Gun Laparoscopic Skills and Suturing Program (Top Gun). Three different video game exercises were performed, and surveys were completed to assess past experience with video games and current level of play, and each subject's level of surgical training, number of laparoscopic cases performed, and number of years in medical practice. SETTING: Academic medical center and surgical training program. PARTICIPANTS: Thirty-three residents and attending physicians participating in Top Gun from May 10 to August 24, 2002. MAIN OUTCOME MEASURES: The primary outcome measures were compared between participants' laparoscopic skills and suturing capability, video game scores, and video game experience. RESULTS: Past video game play in excess of 3 h/wk correlated with 37% fewer errors (P<.02) and 27% faster completion (P<.03). Overall Top Gun score (time and errors) was 33% better (P<.005) for video game players and 42% better (P<.01) if they played more than 3 h/wk. Current video game players made 32% fewer errors (P=.04), performed 24% faster (P<.04), and scored 26% better overall (time and errors) (P<.005) than their nonplaying colleagues. When comparing demonstrated video gaming skills, those in the top tertile made 47% fewer errors, performed 39% faster, and scored 41% better (P<.001 for all) on the overall Top Gun score. Regression analysis also indicated that video game skill and past video game experience are significant predictors of demonstrated laparoscopic skills. CONCLUSIONS: Video game skill correlates with laparoscopic surgical skills. Training curricula that include video games may help thin the technical interface between surgeons and screen-mediated applications, such as laparoscopic surgery. Video games may be a practical teaching tool to help train surgeons.",2007,Archives of Surgery,James C. Rosser,article,686,D5
W2121005211,,10.1162/003355300554881,Economics and Identity*,"This paper considers how identity, a person's sense of self, affects economic outcomes. We incorporate the psychology and sociology of identity into an economic model of behavior. In the utility function we propose, identity is associated with different social categories and how people in these categories should behave. We then construct a simple game-theoretic model showing how identity can affect individual interactions. The paper adapts these models to gender discrimination in the workplace, the economics of poverty and social exclusion, and the household division of labor. In each case, the inclusion of identity substantively changes conclusions of previous economic analysis.",2000,The Quarterly Journal of Economics,George A. Akerlof; Rachel Kranton,article,5565,D5
W2521233320,27647156,10.1177/0018720816669646,The Development and Validation of the Game User Experience Satisfaction Scale (GUESS),"Objective: The aim of this study was to develop and psychometrically validate a new instrument that comprehensively measures video game satisfaction based on key factors. Background: Playtesting is often conducted in the video game industry to help game developers build better games by providing insight into the players’ attitudes and preferences. However, quality feedback is difficult to obtain from playtesting sessions without a quality gaming assessment tool. There is a need for a psychometrically validated and comprehensive gaming scale that is appropriate for playtesting and game evaluation purposes. Method: The process of developing and validating this new scale followed current best practices of scale development and validation. As a result, a mixed-method design that consisted of item pool generation, expert review, questionnaire pilot study, exploratory factor analysis ( N = 629), and confirmatory factor analysis ( N = 729) was implemented. Results: A new instrument measuring video game satisfaction, called the Game User Experience Satisfaction Scale (GUESS), with nine subscales emerged. The GUESS was demonstrated to have content validity, internal consistency, and convergent and discriminant validity. Conclusion: The GUESS was developed and validated based on the assessments of over 450 unique video game titles across many popular genres. Thus, it can be applied across many types of video games in the industry both as a way to assess what aspects of a game contribute to user satisfaction and as a tool to aid in debriefing users on their gaming experience. Application: The GUESS can be administered to evaluate user satisfaction of different types of video games by a variety of users.",2016,Human Factors The Journal of the Human Factors and Ergonomics Society,Mikki H. Phan; Joseph R. Keebler; Barbara S. Chaparro,article,332,D5
W2008497948,,10.1016/j.chb.2015.03.018,"The Trojan Player Typology: A cross-genre, cross-cultural, behaviorally validated scale of video game play motivations",,2015,Computers in Human Behavior,Adam S. Kahn; Cuihua Shen; Li Lu; Rabindra Ratan; Sean P. Coary,article,167,D5
W4319083882,36737653,10.1038/d41586-023-00288-7,ChatGPT: five priorities for research,,2023,Nature,Eva A.M. van Dis; Johan Bollen; Willem Zuidema; Robert van Rooij; Claudi Bockting,article,1766,D5
W1995934468,24786896,10.1016/j.cpr.2014.03.006,The cognitive psychology of Internet gaming disorder,"Internet gaming disorder (IGD) has received nomenclatural recognition as a potential mental health disorder, despite evident variability in its core psychopathology and psychometric assessment. Although cognitive-behavioural therapy (CBT) is considered an efficacious treatment for IGD, the underlying cognitions of the disorder are not well understood. This review aimed to synthesise research evidence on Internet gaming cognition toward identification of cognitive factors underlying IGD. A systematic review of 29 quantitative studies on Internet gaming cognition and 7 treatment studies employing cognitive therapy for IGD was conducted. Four cognitive factors underlying IGD were identified. Factors included (a) beliefs about game reward value and tangibility, (b) maladaptive and inflexible rules about gaming behaviour, (c) over-reliance on gaming to meet self-esteem needs, and (d) gaming as a method of gaining social acceptance. It is proposed that IGD-related cognition may be more complex than ""preoccupation"" (i.e., criterion A of IGD). IGD cognition may involve the persistent overvaluation of video gaming rewards, activities, and identities, combined with a need to adhere to maladaptive rules governing use and completion of video games. Greater understanding of the proposed cognitive factors may advance clinical research agendas on identification of individuals with IGD, as well as the expansion and improvement of cognitive therapies for the disorder.",2014,Clinical Psychology Review,Daniel L. King; Paul Delfabbro,review,378,D5
W3163823280,,10.1145/3411764.3445157,Don’t You Know That You’re Toxic: Normalization of Toxicity in Online Gaming,"Video game toxicity, endemic to online play, represents a pervasive and complex problem. Antisocial behaviours in online play directly harm player wellbeing, enjoyment, and retention—but research has also revealed that some players normalize toxicity as an inextricable and acceptable element of the competitive video game experience. In this work, we explore perceptions of toxicity and how they are predicted by player traits, demonstrating that participants reporting a higher tendency towards Conduct Reconstrual, Distorting Consequences, Dehumanization, and Toxic Online Disinhibition perceive online game interactions as less toxic. Through a thematic analysis on willingness to report, we also demonstrate that players abstain from reporting toxic content because they view it as acceptable, typical of games, as banter, or as not their concern. We propose that these traits and themes represent contributing factors to the cyclical normalization of toxicity. These findings further highlight the multifaceted nature of toxicity in online video games.",2021,,Nicole A. Beres; Julian Frommel; Elizabeth Reid; Regan L. Mandryk; Madison Klarkowski,article,216,D5
W2019020079,20348573,10.3758/app.72.3.667,Reduced attentional capture in action video game players,,2010,Attention Perception & Psychophysics,Joseph D. Chisholm; Clayton Hickey; Jan Theeuwes; Alan Kingstone,article,190,D5
W4298289240,,10.48550/arxiv.1406.2661,Generative Adversarial Networks,"We propose a new framework for estimating generative models via an adversarial process, in which we simultaneously train two models: a generative model G that captures the data distribution, and a discriminative model D that estimates the probability that a sample came from the training data rather than G. The training procedure for G is to maximize the probability of D making a mistake. This framework corresponds to a minimax two-player game. In the space of arbitrary functions G and D, a unique solution exists, with G recovering the training data distribution and D equal to 1/2 everywhere. In the case where G and D are defined by multilayer perceptrons, the entire system can be trained with backpropagation. There is no need for any Markov chains or unrolled approximate inference networks during either training or generation of samples. Experiments demonstrate the potential of the framework through qualitative and quantitative evaluation of the generated samples.",2014,arXiv (Cornell University),Ian Goodfellow; Jean Pouget-Abadie; Mehdi Mirza; Bing Xu; David Warde-Farley,preprint,4546,D5
W2790477689,29535447,10.1038/s41380-018-0031-7,Does playing violent video games cause aggression? A longitudinal intervention study,"It is a widespread concern that violent video games promote aggression, reduce pro-social behaviour, increase impulsivity and interfere with cognition as well as mood in its players. Previous experimental studies have focussed on short-term effects of violent video gameplay on aggression, yet there are reasons to believe that these effects are mostly the result of priming. In contrast, the present study is the first to investigate the effects of long-term violent video gameplay using a large battery of tests spanning questionnaires, behavioural measures of aggression, sexist attitudes, empathy and interpersonal competencies, impulsivity-related constructs (such as sensation seeking, boredom proneness, risk taking, delay discounting), mental health (depressivity, anxiety) as well as executive control functions, before and after 2 months of gameplay. Our participants played the violent video game Grand Theft Auto V, the non-violent video game The Sims 3 or no game at all for 2 months on a daily basis. No significant changes were observed, neither when comparing the group playing a violent video game to a group playing a non-violent game, nor to a passive control group. Also, no effects were observed between baseline and posttest directly after the intervention, nor between baseline and a follow-up assessment 2 months after the intervention period had ended. The present results thus provide strong evidence against the frequently debated negative effects of playing violent video games in adults and will therefore help to communicate a more realistic scientific perspective on the effects of violent video gaming.",2018,Molecular Psychiatry,Simone Kühn; Dimitrij Kugler; Katharina Schmalen; Markus Weichenberger; Charlotte Witt,article,251,D5
