openalex_id,pmid,doi,title,abstract,year,journal,authors,type,cited_by_count,domain_query
W2790210985,29561065,10.1111/jpc.13897,"Esports: Children, stimulants and video‐gaming‐induced inactivity","Imagine a child who plays video games for 12–14 h a day and sleeps just 4 h a night. This is the life of some adolescents and aspiring professionals in the field of esports. Esports are competitive video game contests and they present an emerging public health risk on three axes: the age of participants, the use of stimulants and inactivity. The medical community has previously expressed concerns related to excessive video game consumption observing, for example ‘space invaders wrist’1 among other potential side effects associated with video games. But, esports are not local competitions held at shopping malls, as video game tournaments once were. They are now commercial pursuits with sponsorships for top performers, sold-out stadiums for live-viewing, venture capital-like investments and a tethered wagering market expected to reach US$23.5 billion by the year 2020.2 Indeed, the world-wide esports audience (participants and viewers) is anticipated to be upwards of 435 million people by 2019.2 A 2017 article from ESPN reported that amongst five popular esports titles the average age of professionals was between 21.2 and 25.5.3 Beyond roots in South Korea, esports teams are now emerging on a growing number of collegiate campuses, with some schools handing out scholarships to prized recruits in the same way that they have courted football or basketball phenoms in the past.2 Although often discussed in the singular, esports more accurately describe a variety of different competitive video game titles in a manner like the Olympics is a conglomeration of many different sports. Professionalisation of esports has in many ways legitimised excessive consumption of an activity that was long thought to be best consumed in moderation.1 The first medical concern that has emerged in the world of both professional and amateur video-gaming is physical and mental exhaustion. The burn-out associated with competitive video-gaming is associated not only with the playing of games but also with the streaming of games, as some Twitch streamers have been reported to occasionally stream for periods of 24 h or longer to satisfy the appetites of the site's subscribers who follow and, in some instances, pay for content from streamers.4 The demands of having a successful streaming career, as well as the demands of being a successful esports professional, lead to esports being dominated by athletes that are typically younger2 than major professional sports stars and more akin to precocious gymnasts who have historically dominated at the Olympics, only to retire shortly after reaching the age of majority. It is not uncommon for esports professionals to retire from competition at an age as young as 19,2 occasionally choosing to pursue a career streaming or coaching. Fueling the marathon gaming sessions of some pros and amateurs are both prescription and over-the-counter stimulants. The use of stimulants such as dextroamphetamine in esports has emerged as a concern, with one professional stating, ‘we are all on Adderall’.2 To combat this reality or perception, some leagues have begun to implement drug testing protocols for competitors in advance of competitions. In addition to the use of prescription stimulants, the use of non-prescription stimulants has created a grey market cottage industry of supplements marketed to professional and want-to-be professional gamers. The variety of drugs accessible without prescriptions that are being marketed to gamers largely promise to enhance focus; some are comprised of caffeine and B-12, whereas others are composites of herbal ingredients. In some ways, esports are like many traditional sports – there are teams, someone wins, and there is uncertainty of outcome. But in other ways, esports differ markedly from traditional sports in that the athletes manipulate avatars on computer screens against opponents instead of physically confronting opponents on a field, court or rink. Both the similarities and differences raise potential health concerns. Concerns regarding the use of stimulant medications in professional esports is a major concern from a contest integrity perspective, but the recreational use by esports enthusiasts, players and streamers, of both prescription and over-the-counter stimulants to sustain marathon gaming and streaming sessions or improve focus are actions that parents and medical professionals should investigate and pre-empt. In addition, in an era of concussions, heightened awareness and concern over safety regarding many traditional sports,5 including football, hockey, soccer and cheerleading,6 there is a danger in going too far in the other direction and encouraging children to avoid physical activities that may result in an injury. Out of an abundance of caution, parents may be content with children engaging in video-gaming as a pastime; however, they may unknowingly be opening the door to gaming abuse and overuse-related risk factors, several of which have been associated with major conditions. Brain imaging research findings show that stimulating the brain via screens and gaming is as dopaminergic (dopamine activating) as sex, gambling and addictive substances, by flooding the brain's pleasure centre with multiple stimuli.7 A growing number of clinical research studies correlate screens and gaming abuse and overuse with disorders like attention deficit hyperactivity disorder, addiction, anxiety, depression, increased aggression and psychosis (also referred to as game transfer phenomena or ‘Tetris effect’).7 Further, recent magnetic resonance imagings and functional magnetic resonance imagings show that excessive screen and gaming exposure can neurologically damage a young person's developing brain similarly to cocaine addiction.7 The emergence of top-level esports is a reality, but there is limited awareness and seemingly little willingness to prepare for the health-related challenges. Specific to Australia, a joint survey conducted by Bond University and the Interactive Games and Entertainment Association estimated that: (i) 98% of homes with children have video games; (ii) 68% of the population plays video games; and (iii) 88 min is the average time spent playing video games daily.8 Many students or a classmate9 already have a prescription for methylphenidate or dextroamphetamine. Failing access from personal medicine cabinets, specialised gamer elixirs are available for purchase over the internet. Considering the potentially destructive cocktail of esports combined with stimulants and inactivity, it is imperative to encourage more exercise and physical activity programs for esports enthusiasts.10 Absent proactive measures, esports will face their own concussion-like health crisis.",2018,Journal of Paediatrics and Child Health,John T. Holden; Anastasios Kaburakis; Ryan M. Rodenberg,review,33,D2
W4307826637,,10.7551/mitpress/13605.001.0001,Playing at a Distance,"An essential exploration of video game aesthetic that decenters the human player and challenges what it means to play. Do we play video games or do video games play us? Is nonhuman play a mere paradox or the future of gaming? And what do video games have to do with quantum theory? In Playing at a Distance, Sonia Fizek engages with these and many more daunting questions, forging new ways to think and talk about games and play that decenter the human player and explore a variety of play formats and practices that require surprisingly little human action. Idling in clicker games, wandering in walking simulators, automating gameplay with bots, or simply watching games rather than playing them—Fizek shows how these seemingly marginal cases are central to understanding how we play in the digital age. Introducing the concept of distance, Fizek reorients our view of computer-mediated play. To “play at a distance,” she says, is to delegate the immediate action to the machine and to become participants in an algorithmic spectacle. Distance as a media aesthetic framework enables the reader to come to terms with the ambiguity and aesthetic diversity of play. Drawing on concepts from philosophy, media theory, and posthumanism, as well as cultural and film studies, Playing at a Distance invites a wider understanding of what digital games and gaming are in all their diverse experiences and forms. In challenging the common perception of video games as inherently interactive, the book contributes to our understanding of the computer's influence on practices of play—and prods us to think more broadly about what it means to play.",2022,The MIT Press eBooks,Sonia Fizek,book,16,D2
W4231451585,,10.12987/yale/9780300218879.001.0001,Plugged In,"This book is an illuminating study of the complex relationship between children and media in the digital age. Now, as never before, young people are surrounded by media, thanks to the sophistication and portability of the technology that puts it literally in the palms of their hands. Drawing on data and empirical research that cross many fields and continents, this book examines the role of media in the lives of children from birth through adolescence, addressing the complex issues of how media affect the young and what adults can do to encourage responsible use in an age of selfies, Twitter, Facebook, and Instagram. The book looks at both the sunny and the dark side of media use by today's youth, including why and how their preferences change throughout childhood, whether digital gaming is harmful or helpful, the effects of placing tablets and smartphones in the hands of toddlers, the susceptibility of young people to online advertising, the legitimacy of parental concerns about media multitasking, and more.",2017,Yale University Press eBooks,Patti M. Valkenburg; Jessica Taylor Piotrowski,book,191,D2
W755313483,,10.1287/orsc.2016.1067,New Blood as an Elixir of Youth: Effects of Human Capital Tenure on the Explorative Capability of Aging Firms,"The relationship between firm age and innovation has been an enduring topic of interest. We contribute to this research by studying how the effect of firm age on the quality of explorative and exploitative innovations is affected by the firm-specific and industry tenure of the talent resources (employees) that the firm utilizes. We start with the baseline predictions that firm age is related to the development of better exploitative innovations and worse explorative innovations. However, the tenure of employees intervenes in these relationships, by way of bringing in new knowledge, mental models, and beliefs. We predict that longer firm-specific and industry tenure of employees enhances the positive effect of firm age on the quality of exploitative innovations, while amplifying the negative effect of firm age on the quality of explorative innovations. In addition, for both the baseline and the moderating effect, we also formulate a prediction comparing the quality of explorative innovations with those of exploitative innovations. We find support for the moderating effects of human capital tenure for the quality of explorative innovations, but not for the quality of exploitative innovations. We reason that the latter may be due to the need for some level of exploration even in exploitative innovations, at least in the setting we study—the video game industry. Our results suggest that the negative effects of firm age on the quality of explorative innovations can be mitigated by talent resources (employees) the firm uses who have lower firm-specific and industrywide tenure.",2016,Organization Science,Feichin Tschang; Gökhan Ertug,article,20,D2
W2586742947,,10.5824/1309-1581.2012.3.002.x,Fundamentals Of Interactive Storytelling,"The focus of interactive storytelling should not only be on the attributes of the technology or characteristics of the medium, such as the AI techniques, planning formalisms, story representations, etc. but also on the computer-mediated communication processes, such as the relatedness of transmitted messages with previous exchanges of information, the number of attributes to be manipulated by the player, or the level of player control on the messages. It is argued that an approach to maximize player enjoyment in a computer game is to customize/personalize the gaming experience and the associated computer-mediated communication processes. To this aim and to provide answers to “how” and “what” should be customized, the article first explores the problematic notions of interactivity and then frame the discussion in the context of interactive storytelling systems. Secondly, it analyses table-top role-playing games RPGs - the live counterpart of computerized interactive storytelling systems – in an attempt to find “what” to customize. In particular, it focuses on the Dungeon Master whose role in co-ordinating human-to-human communication process of interactive storytelling provides valuable insights into how to handle the human-to-machine/game communication process. Finally, the article proposes a framework to explain “how” to customize for maximum player enjoyment and optimal game experience within an interactive storytelling system.",2012,AJIT-e Academic Journal of Information Technology,Barboros BOSTAN; Tim Marsh,article,21,D2
W2992177188,31920875,10.3389/fpsyg.2019.02846,Gaming Green: The Educational Potential of Eco – A Digital Simulated Ecosystem,"Research into the use of videogames in education is on the rise, and they are cementing their position as part of the modernized, digital classroom. Sustainability education has also become a subject of interest among environmentally minded game developers and understanding the educational impact of such games is rapidly becoming an important field. This study examined the educational potential of the digital simulated ecosystem known as Eco, in order to reveal how playing Eco might promote environmental consciousness surrounding ecosystems. Qualitative data from seven respondents were subjected to a thematic analysis, revealing two main themes that highlight both game-based learning outcomes as well as barriers against learning. The findings indicate that Eco is a viable tool for promoting some aspects of environmental consciousness about ecosystems, and suggestions for future implementation of Eco are provided.",2019,Frontiers in Psychology,Kristoffer S. Fjællingsdal; Christian A. Klöckner,article,67,D2
W2098487995,,10.1609/aiide.v7i1.12435,Build Order Optimization in StarCraft,"In recent years, real-time strategy (RTS) games have gained interest in the AI research community for their multitude of challenging subproblems — such as collaborative pathfinding, effective resource allocation and unit targeting, to name a few. In this paper we consider the build order problem in RTS games in which we need to find concurrent action sequences that, constrained by unit dependencies and resource availability, create a certain number of units and structures in the shortest possible time span. We present abstractions and heuristics that speed up the search for approximative solutions considerably in the game of StarCraft, and show the efficacy of our method by comparing its real-time performance with that of professional StarCraft players.",2011,Proceedings of the AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,David G. Churchill; Michael Buro,article,101,D2
W2149163823,,10.5334/2007-5,Adaptive Units of Learning and Educational Videogames,"In this paper, we propose three different ways of using IMS Learning Design to support online adaptive learning modules that include educational videogames. The first approach relies on IMS LD to support adaptation procedures where the educational games are considered as Learning Objects. These games can be included instead of traditional content to adapt the learning experience to the preferences of the student. In the second approach, the game engine supports the entire adaptation cycle, simply using IMS LD as a delivery mechanism for the packages containing the games. The learner profile is used to adapt the game, and the activity within the game is used to adjust the profile. Finally, the third approach stands between the other two, using IMS LD to model the general adaptation guidelines and then refining the adaptation inside the games. We illustrate these approaches with the &lt;e-Adventure&gt; educational game engine, which includes the mechanisms required to support these adaptation cycles.Editors: Daniel Burgos.",2007,Journal of Interactive Media in Education,Pablo Moreno‐Ger; Pilar Sancho Thomas; Iván Martínez‐Ortiz; José Luis Sierra; Baltasar Fernández‐Manjón,article,29,D2
W4285345277,,10.5753/sbgames_estendido.2021.19640,Self-reflection in Games - The Representation of the Individuation Process in Celeste and Persona 2: Innocent Sin,"Video games are popular nowadays, possessing the potential to positively impact people by alleviating unpleasant emotions, giving them leisure and empowerment. Understanding psychological factors can aid in building meaningful and engaging gameplay, resulting in more beneficial impacts on players and desirable video games. This work analyzes how the games Persona 2: Innocent Sin and Celeste use core concepts from Analytical Psychology mixed with the Hero’s Journey to build compelling narratives and gameplay. Game designers should not recognize these ideas as fixed rules but as an inspiration to create meaningful video game experiences and, consequently, aid the player’s transformation.",2021,,Amanda C. R. Tavares; Rosilane Ribeiro da Mota; Walter Melo,article,2,D2
W2960325381,31311472,10.1098/rspb.2019.1135,Using drones and sirens to elicit avoidance behaviour in white rhinoceros as an anti-poaching tactic,"Poaching fuelled by international trade in horn caused the deaths of over 1000 African rhinoceros (Ceratotherium simum and Diceros bicornis) per year between 2013 and 2017. Deterrents, which act to establish avoidance behaviours in animals, have the potential to aid anti-poaching efforts by moving at-risk rhinos away from areas of danger (e.g. near perimeter fences). To evaluate the efficacy of deterrents, we exposed a population of southern white rhinos (C. simum simum) to acoustic- (honeybee, siren, turtle dove), olfactory- (chilli, sunflower), and drone-based stimuli on a game reserve in South Africa. We exposed rhinos to each stimulus up to four times. Stimuli were considered effective deterrents if they repeatedly elicited avoidance behaviour (locomotion away from the deterrent). Rhinos travelled significantly further in response to the siren than to the honeybee or turtle dove stimulus, and to low-altitude drone flights than to higher altitude flights. We found the drone to be superior at manipulating rhino movement than the siren owing to its longer transmission range and capability of pursuit. By contrast, the scent stimuli were ineffective at inciting avoidance behaviour. Our findings indicate that deterrents are a prospective low-cost and in situ method to manage rhino movement in game reserves.",2019,Proceedings of the Royal Society B Biological Sciences,Samuel G. Penny; Rachel L. White; Dawn M. Scott; Lynne MacTavish; Angelo P. Pernetta,article,39,D2
